Engine,Query,Overlap %,Precision@10,MAP,NDCG@10,Spearman Rho,Jaccard
Bing,What are the effects of a plant of mineral deficiency,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,The scientific name of the windpipe,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,Where does the lena river go into,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,What is the tax called on export,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,What are the two photosynthesis,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Bing,Que paso con diego rivera revolucion mexicana,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Bing,8 ounces is how many millilitres,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Bing,Where is the Dell inc HQ location,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Bing,What is th function for nucleus,0.0,0.0,0.0,0.0,-0.8583690987124465,0.0
Bing,Best site to download aimbot for cod4,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,What causes the soil to be red,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,Where is vinson massif located in the antartica,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,America and Italy dont have in common,0.0,0.0,0.0,0.0,-0.5,0.0
Bing,How many decimals are in a centimeter,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Bing,When is lil wayne real name,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,What deraction is irleand,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,In what year did clovis convert to Christianity,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,Where was the pharos located,0.0,0.0,0.0,0.0,-0.8453639444116163,0.0
Bing,Ingrediance in 7up,0.0,0.0,0.0,0.0,-0.8596491228070177,0.0
Bing,What are the differences between butterflies and birds,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,What party is dalton mcguinty part of,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Bing,Best carb for a 305,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Bing,What causes an ulcer,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Bing,Anecdote about twix,0.0,0.0,0.0,0.0,-0.8131506302535249,0.0
Bing,What is the significance of fecalysis,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,What are the two symbol of elivation on a map,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Bing,Why was hera 's symbol a pomegraete,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,What important event happened in 1867,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Bing,Who did victoria marry and wen,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Yahoo!,Some important facts on the respiratory system,5.555555555555555,0.1,0.011111111111111112,0.1023336937476299,-0.7994802767688799,0.05555555555555555
Yahoo!,You want to text dirty with your boyfriend what should you say,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Yahoo!,Can you give me example of anecdotes by the filipino writers,5.555555555555555,0.1,0.027777777777777776,0.15246657145929848,-0.6195106906564047,0.05555555555555555
Yahoo!,How do you figure sq ft for a house,7.6923076923076925,0.1,0.125,0.3668643070418002,-0.33740680424121494,0.07692307692307693
Yahoo!,What city is the iffel tower,12.5,0.2,0.25,0.4344508158334163,-0.4016024558472366,0.125
Yahoo!,Hw big are sperm whales up to dinosaurs,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Yahoo!,What is not part of a biology,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Yahoo!,What is the radio code for a 2005 renault clio sport 182 cup,10.0,0.1,0.2,0.38685280723454163,0.058025885318565944,0.1
Yahoo!,How many troops are in a modern marine battalion,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Yahoo!,More defines for respect,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Yahoo!,Why your deserts so hot,9.090909090909092,0.1,0.16666666666666666,0.38009376671593426,-0.0943879807448539,0.09090909090909091
Yahoo!,Are the decomposer that live in the ocean,6.666666666666667,0.1,0.023809523809523808,0.049784292937385115,-0.7754763931697963,0.06666666666666667
Yahoo!,Site where vladimir lenin is kept,7.6923076923076925,0.1,0.25,0.5461894817257589,-0.2834217155626206,0.07692307692307693
Yahoo!,Codes to get weapons in poptropica,6.666666666666667,0.1,0.08333333333333333,0.3206754792515938,-0.47185071542077545,0.06666666666666667
Yahoo!,How many grammys does alicia keys have now,15.384615384615385,0.2,0.4,0.5481864195602553,-0.15118578920369088,0.15384615384615385
Yahoo!,What level does pineco evovle at,6.25,0.1,0.14285714285714285,0.4105834272458791,-0.4742103070183017,0.0625
Yahoo!,How many toes does an ostrich have,0.0,0.0,0.0,0.0,-0.8583690987124465,0.0
Yahoo!,How does an iphone compare to a blackberry,0.0,0.0,0.0,0.0,-0.5,0.0
Yahoo!,How did darius reorganize and improve the persian government,6.25,0.1,0.14285714285714285,0.08801013192053872,-0.6821972837807148,0.0625
Yahoo!,What are lyrics of the star spangled banner,30.0,0.3,0.42063492063492064,0.5539767737459819,0.23115669303779424,0.3
Yahoo!,What do the uniting church believe about the bible,6.666666666666667,0.1,0.16666666666666666,0.052392622609115175,-0.67700320038633,0.06666666666666667
Yahoo!,Number of babies a polar bear can have,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Yahoo!,What is 4th Earl of Sandwich,13.333333333333334,0.2,0.2857142857142857,0.464160599089668,-0.2998080099430622,0.13333333333333333
Yahoo!,What do mediaval princesses wear,0.0,0.0,0.0,0.0,-0.8574929257125442,0.0
Yahoo!,What did Medea give Jason to prtect him self,13.333333333333334,0.2,0.06746031746031746,0.12097114547258146,-0.7258509714410981,0.13333333333333333
Yahoo!,How many miles are in africa,13.333333333333334,0.2,0.18367346938775508,0.4410202372774892,-0.4319602248521752,0.13333333333333333
Yahoo!,What did queen latifah influence,13.333333333333334,0.2,0.09523809523809523,0.2405220190605131,-0.48916043727552255,0.13333333333333333
Yahoo!,What is a natuaral fathers rights,7.142857142857142,0.1,0.2,0.44551506981209177,-0.37036814677502206,0.07142857142857142
Yahoo!,What is excluded from OSHA,13.333333333333334,0.2,0.06462585034013604,0.17337100499908759,-0.6351196000109609,0.13333333333333333
Yahoo!,How did your universe form,0.0,0.0,0.0,0.0,-0.5,0.0
Yahoo!,5 pillars of faith are like,0.0,0.0,0.0,0.0,-0.6461987757371918,0.0
Yahoo!,What is ryan sheckler worth,5.555555555555555,0.1,0.05555555555555555,0.22335948998251992,-0.559520828618913,0.05555555555555555
Yahoo!,Where is the river murrays source,23.076923076923077,0.3,0.4583333333333333,0.23782969228212963,-0.3183312368190975,0.23076923076923078
Yahoo!,Who is the leader of azerbaijan,0.0,0.0,0.0,0.0,-0.8583690987124465,0.0
Yahoo!,How many calories in one hot dog with bun,7.142857142857142,0.1,0.1,0.03221055065612311,-0.6345468248942685,0.07142857142857142
Yahoo!,Where hydroelectic energy id from,7.142857142857142,0.1,0.02222222222222222,0.14653046896794578,-0.7433262805904288,0.07142857142857142
Yahoo!,How many voyages did christopher columbus make,7.142857142857142,0.1,0.2,0.4867636816216399,-0.37036814677502206,0.07142857142857142
Yahoo!,What is vanessa hudgens background,20.0,0.3,0.375,0.6624944403203961,0.03450327796711772,0.2
Yahoo!,What languages are spoken the united kingdom,5.88235294117647,0.1,0.041666666666666664,0.1966188254438911,-0.5719814109062135,0.058823529411764705
Yahoo!,How many movies did Julie Andrews play in,15.384615384615385,0.2,0.15714285714285714,0.11578515987428793,-0.5354496700964052,0.15384615384615385
Yahoo!,Something in a bathroom with a J,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Yahoo!,What can nuclear energy be converted to,5.555555555555555,0.1,0.1111111111111111,0.3540164158024968,-0.5295258976001672,0.05555555555555555
Yahoo!,Is WWE freaking fake,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Yahoo!,How do you build a bridge out of popsical sticks,15.384615384615385,0.2,0.15714285714285714,0.3974574329416884,-0.2834733547569204,0.15384615384615385
Yahoo!,The language of origin of the word karate,7.6923076923076925,0.1,0.25,0.5288545377367062,-0.2834217155626206,0.07692307692307693
Yahoo!,The advantagous of being a doctor,5.555555555555555,0.1,0.015873015873015872,0.1180054719341656,-0.7094954837126424,0.05555555555555555
Yahoo!,What are the typical daily temperature swings on mars,23.076923076923077,0.3,0.23888888888888885,0.41914094550066944,-0.10811249552346708,0.23076923076923078
Yahoo!,What is the most feared gang diablos or bloodz or crips,0.0,0.0,0.0,0.0,-0.5,0.0
Yahoo!,What is amy dumas full name,5.555555555555555,0.1,0.1111111111111111,0.3540164158024968,-0.5295258976001672,0.05555555555555555
Yahoo!,Where can you get a groudon in soul silver,7.6923076923076925,0.1,0.125,0.31584890366430646,-0.33740680424121494,0.07692307692307693
Yahoo!,What are the properties of C45 Steel,6.25,0.1,0.023809523809523808,0.01517860461731377,-0.8069894698381627,0.0625
Yahoo!,Which president pardoned Ricard Nixon,16.666666666666664,0.2,0.5,0.6765126302148435,0.012503256480451235,0.16666666666666666
Yahoo!,Boethius wrote or music of the university,14.285714285714285,0.2,0.12222222222222223,0.2298387235711768,-0.42331288370485987,0.14285714285714285
Yahoo!,How many grams is in a cup of whole wheat pasta,13.333333333333334,0.2,0.2857142857142857,0.5242917728724183,-0.2564147453460401,0.13333333333333333
Yahoo!,A list of the most famous baseball players,0.0,0.0,0.0,0.0,-0.825170173811949,0.0
Yahoo!,The good side of corporal punishment,6.25,0.1,0.14285714285714285,0.38350557344143876,-0.4742103070183017,0.0625
Yahoo!,What country do oats grow in,5.88235294117647,0.1,0.041666666666666664,0.18896398013836962,-0.5719814109062135,0.058823529411764705
Yahoo!,How much does modified dirt track car cost,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Yahoo!,What is the punishment for vandalsim in texas,21.428571428571427,0.3,0.23809523809523808,0.37059208682795547,-0.2539319363329979,0.21428571428571427
Yahoo!,What city does shane dawson live,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Yahoo!,What will happen if you overdose on aspirin,21.428571428571427,0.3,0.39285714285714285,0.4143041843915784,-0.2847834799996238,0.21428571428571427
Yahoo!,How many calories in a cup if fresh strawberries,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Yahoo!,Which sport is eminem 's favorite,5.555555555555555,0.1,0.1111111111111111,0.2360109438683312,-0.6229716442354908,0.05555555555555555
Yahoo!,What is the principle component of air,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Yahoo!,What is th relative location of Germany,11.76470588235294,0.2,0.1,0.21375868490227404,-0.547013225166754,0.11764705882352941
Yahoo!,How do you feel a boob without henr noticing,10.0,0.1,0.2,0.38685280723454163,0.058025885318565944,0.1
Yahoo!,What city dose demi lovato live in,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Yahoo!,What is hte climate in denmark,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Yahoo!,What is strong emotion,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Yahoo!,How does basketball related to science,14.285714285714285,0.2,0.07539682539682539,0.20938599948187467,-0.5808246543857379,0.14285714285714285
Yahoo!,What was the colossus of rhodes a statue of,15.384615384615385,0.2,0.4,0.5574965010694808,-0.10079052613579391,0.15384615384615385
Yahoo!,What are the effects of a plant of mineral deficiency,6.25,0.1,0.028571428571428574,0.03404696659854275,-0.7620642828574813,0.0625
Yahoo!,The scientific name of the windpipe,14.285714285714285,0.2,0.16666666666666666,0.27968238840504983,-0.351940362615087,0.14285714285714285
Yahoo!,Where does the lena river go into,13.333333333333334,0.2,0.2857142857142857,0.6234652133755598,-0.12623495155497355,0.13333333333333333
Yahoo!,What is the tax called on export,6.25,0.1,0.14285714285714285,0.21305865191191045,-0.6405998884282322,0.0625
Yahoo!,What are the two photosynthesis,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Yahoo!,Que paso con diego rivera revolucion mexicana,12.5,0.2,0.20833333333333331,0.184950038222098,-0.5838557791835326,0.125
Yahoo!,8 ounces is how many millilitres,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Yahoo!,Where is the Dell inc HQ location,0.0,0.0,0.0,0.0,-0.8573609935745664,0.0
Yahoo!,What is th function for nucleus,0.0,0.0,0.0,0.0,-0.8583690987124465,0.0
Yahoo!,Best site to download aimbot for cod4,13.333333333333334,0.2,0.18367346938775508,0.2305092640216489,-0.597643598768078,0.13333333333333333
Yahoo!,What causes the soil to be red,6.25,0.1,0.07142857142857142,0.21903969263548656,-0.5490856186527704,0.0625
Yahoo!,Where is vinson massif located in the antartica,21.428571428571427,0.3,0.39285714285714285,0.5059819975488069,-0.11628658766651305,0.21428571428571427
Yahoo!,America and Italy dont have in common,0.0,0.0,0.0,0.0,-0.5,0.0
Yahoo!,How many decimals are in a centimeter,0.0,0.0,0.0,0.0,-0.8119622530770386,0.0
Yahoo!,When is lil wayne real name,13.333333333333334,0.2,0.18367346938775508,0.5034488896995933,-0.33728401118594503,0.13333333333333333
Yahoo!,What deraction is irleand,6.25,0.1,0.07142857142857142,0.05648986511986305,-0.7021640335499064,0.0625
Yahoo!,In what year did clovis convert to Christianity,14.285714285714285,0.2,0.10833333333333334,0.08336897377788031,-0.6423526898079559,0.14285714285714285
Yahoo!,Where was the pharos located,7.6923076923076925,0.1,0.0625,0.17642325453415522,-0.49936207027699814,0.07692307692307693
Yahoo!,Ingrediance in 7up,13.333333333333334,0.2,0.23809523809523808,0.2343645171031015,-0.4082911714356176,0.13333333333333333
Yahoo!,What are the differences between butterflies and birds,0.0,0.0,0.0,0.0,-0.8328326937493676,0.0
Yahoo!,What party is dalton mcguinty part of,7.142857142857142,0.1,0.2,0.5114975918735036,-0.37036814677502206,0.07142857142857142
Yahoo!,Best carb for a 305,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Yahoo!,What causes an ulcer,12.5,0.2,0.15,0.3913798296759035,-0.5064384382973184,0.125
Yahoo!,Anecdote about twix,0.0,0.0,0.0,0.0,-0.8535576060794188,0.0
Yahoo!,What is the significance of fecalysis,13.333333333333334,0.2,0.23809523809523808,0.44742316901501195,-0.3215046422415733,0.13333333333333333
Yahoo!,What are the two symbol of elivation on a map,6.666666666666667,0.1,0.16666666666666666,0.39415969295792025,-0.4308202184276646,0.06666666666666667
Yahoo!,Why was hera 's symbol a pomegraete,0.0,0.0,0.0,0.0,-0.8459012667136341,0.0
Yahoo!,What important event happened in 1867,6.25,0.1,0.14285714285714285,0.17602026384107744,-0.6405998884282322,0.0625
Yahoo!,Who did victoria marry and wen,6.666666666666667,0.1,0.16666666666666666,0.2946247646565569,-0.5292934112111307,0.06666666666666667
